,INALT,ROMS,ROMSchild
2009-01-01,16.363964,27.975998,28.81782
2009-01-02,16.363964,27.946444,28.855906
2009-01-03,16.363964,27.91494,28.838589
2009-01-04,16.363964,27.885618,28.901236
2009-01-05,16.363964,27.915503,28.926752
2009-01-06,16.363964,27.944824,28.890705
2009-01-07,16.363964,27.885618,28.862936
2009-01-08,16.363964,27.885618,28.8707
2009-01-09,16.363964,27.885618,28.824972
2009-01-10,16.363964,27.885618,28.810955
2009-01-11,16.363964,27.885618,28.800404
2009-01-12,16.363964,27.885618,28.800404
2009-01-13,16.363964,27.885618,28.800404
2009-01-14,16.363964,27.885618,28.800404
2009-01-15,16.363964,27.885618,28.800404
2009-01-16,16.363964,27.885618,28.814007
2009-01-17,16.363964,27.945002,28.821095
2009-01-18,16.363964,27.945002,28.887863
2009-01-19,22.894075,27.947495,28.922413
2009-01-20,19.210423,27.947527,29.078089
2009-01-21,16.363964,28.005053,28.903389
2009-01-22,17.033718,27.885618,28.974495
2009-01-23,23.898708,27.885618,28.800404
2009-01-24,16.363964,27.885618,28.81742
2009-01-25,16.363964,27.885618,28.82795
2009-01-26,16.363964,27.885618,28.800404
2009-01-27,16.363964,27.9756,28.862806
2009-01-28,19.210423,27.977854,28.856417
2009-01-29,16.363964,27.885618,28.800404
2009-01-30,16.363964,27.885618,28.800404
2009-01-31,16.363964,28.01155,28.776981
2009-02-01,16.363964,28.047453,28.899427
2009-02-02,23.898708,28.39632,28.986572
2009-02-03,23.898708,28.4228,29.231611
2009-02-04,23.898708,28.010357,28.974472
2009-02-05,23.898708,27.885618,28.809313
2009-02-06,24.083387,27.915667,28.824835
2009-02-07,23.898708,27.880978,28.804369
2009-02-08,16.363964,27.823517,28.919104
2009-02-09,16.363964,27.921444,29.15532
2009-02-10,16.363964,27.819866,29.060177
2009-02-11,16.363964,28.036827,28.930328
2009-02-12,16.363964,28.195505,29.076668
2009-02-13,16.363964,28.193277,29.014328
2009-02-14,23.898708,28.866695,29.255266
2009-02-15,23.898708,29.205027,29.450575
2009-02-16,23.898708,29.703949,29.802517
2009-02-17,23.898708,30.900415,30.376274
2009-02-18,16.363964,32.322605,31.58815
2009-02-19,16.363964,33.566257,33.06526
2009-02-20,23.898708,33.9572,33.584915
2009-02-21,23.898708,33.921062,33.702522
2009-02-22,31.285889,33.403145,32.80776
2009-02-23,32.209282,32.077896,31.449871
2009-02-24,23.898708,30.122007,30.953402
2009-02-25,23.898708,28.886566,30.684801
