,INALT,ROMS,ROMSchild
2009-06-14,53.536312,60.07212,57.986897
2009-06-15,57.779488,58.985573,55.479084
2009-06-16,57.514286,59.51733,56.57988
2009-06-17,63.879063,59.7681,56.038437
2009-06-18,63.879063,60.592567,55.983784
2009-06-19,63.879063,60.125595,56.181065
2009-06-20,63.879063,59.892185,57.077824
2009-06-21,63.879063,61.064674,58.958336
2009-06-22,63.879063,61.620724,59.848488
2009-06-23,63.879063,62.113987,59.89213
2009-06-24,63.879063,63.009037,60.91655
2009-06-25,64.489975,63.05413,60.853565
2009-06-26,66.62817,63.459515,62.11009
2009-06-27,67.23907,64.11701,63.80599
2009-06-28,63.879063,65.32729,63.43096
2009-06-29,62.55307,65.02508,62.809566
2009-06-30,55.313633,40.31549,63.542953
2009-07-01,53.16964,42.68798,64.63354
2009-07-02,59.105495,45.337555,65.8526
2009-07-03,65.10088,46.757538,66.39347
2009-07-04,68.76634,47.60038,65.27676
2009-07-05,73.0427,47.04722,67.9486
2009-07-06,77.0136,46.13379,67.02262
2009-07-07,67.23907,44.759743,64.88501
2009-07-08,57.514286,44.97813,64.8952
2009-07-09,55.923096,47.92073,67.010376
2009-07-10,63.879063,52.283775,66.27946
2009-07-11,77.62451,56.456688,70.029205
2009-07-12,77.62451,58.541256,74.31538
2009-07-13,77.0136,60.53003,77.318016
2009-07-14,77.62451,60.879787,77.756256
2009-07-15,77.62451,59.931225,78.76531
2009-07-16,77.62451,60.391838,79.730736
2009-07-17,77.62451,60.129997,79.64649
2009-07-18,63.61386,57.8948,79.0161
2009-07-19,63.61386,56.158016,77.97286
2009-07-20,63.083458,56.323963,78.006035
2009-07-21,63.61386,55.292984,76.60073
2009-07-22,77.62451,53.104828,76.15328
2009-07-23,77.62451,53.762524,75.64287
2009-07-24,77.62451,52.146927,75.00965
2009-07-25,77.62451,52.186764,73.55217
2009-07-26,73.34815,52.935925,74.46768
2009-07-27,55.955788,54.768417,73.897354
2009-07-28,50.34841,54.338524,70.99074
2009-07-29,56.25894,54.63539,71.13583
2009-07-30,74.87542,55.72591,69.68099
2009-07-31,80.463554,55.689426,68.57508
2009-08-01,85.78676,56.66462,67.80816
2009-08-02,90.75508,56.067413,68.39701
2009-08-03,91.10996,56.30895,70.27601
2009-08-04,91.10996,58.604595,70.71786
2009-08-05,90.40021,57.113037,71.037926
2009-08-06,92.529495,56.19281,72.618286
2009-08-07,91.10996,57.063698,74.03962
2009-08-08,92.17461,54.318783,75.24013
2009-08-09,93.59413,52.88146,75.9261
2009-08-10,93.59413,54.808598,77.4719
2009-08-11,93.59413,58.67853,77.20968
2009-08-12,93.59413,58.297783,78.15285
2009-08-13,93.59413,60.07212,79.129524
2009-08-14,93.59413,58.985573,78.06063
2009-08-15,93.59413,59.51733,77.923004
2009-08-16,93.59413,59.7681,77.879715
2009-08-17,79.39892,60.592567,78.5032
2009-08-18,79.04403,60.125595,78.78264
2009-08-19,93.59413,59.892185,78.254654
2009-08-20,93.59413,61.064674,78.41851
2009-08-21,93.59413,61.620724,77.103874
2009-08-22,93.59413,62.113987,75.64973
2009-08-23,93.59413,63.009037,74.50934
2009-08-24,92.17461,63.05413,74.08622
2009-08-25,47.294785,63.459515,74.14698
2009-08-26,79.75379,64.11701,74.72186
2009-08-27,80.463554,65.32729,74.74763
2009-08-28,68.460884,65.02508,74.88056
2009-08-29,46.070877,76.08393,75.15649
2009-08-30,35.840515,77.17843,75.717224
2009-08-31,36.991352,78.16622,75.19097
2009-09-01,27.03826,77.57194,73.97677
2009-09-02,43.21531,76.31885,72.74785
2009-09-03,78.93629,75.42146,72.55948
2009-09-04,91.46484,75.22118,71.41669
2009-09-05,93.23925,75.50276,70.3313
2009-09-06,91.46484,74.12942,70.09866
2009-09-07,62.37884,73.71085,70.02351
2009-09-08,94.840096,71.8349,69.94641
2009-09-09,105.223076,70.2016,68.30687
2009-09-10,108.960945,70.12615,67.8123
2009-09-11,109.79159,70.077446,68.46721
2009-09-12,93.59413,69.586815,67.2093
2009-09-13,48.922413,71.33573,66.910835
2009-09-14,23.898708,73.26733,67.89632
2009-09-15,23.898708,72.644035,70.33333
2009-09-16,38.2114,72.537125,70.69146
2009-09-17,74.65993,72.550545,70.69598
2009-09-18,104.39244,72.05385,71.89992
