,INALT
2009-01-01,16.363964
2009-01-02,16.363964
2009-01-03,16.363964
2009-01-04,16.363964
2009-01-05,16.363964
2009-01-06,16.363964
2009-01-07,16.363964
2009-01-08,16.363964
2009-01-09,16.363964
2009-01-10,16.363964
2009-01-11,16.363964
2009-01-12,16.363964
2009-01-13,16.363964
2009-01-14,16.363964
2009-01-15,16.363964
2009-01-16,16.363964
2009-01-17,16.363964
2009-01-18,16.363964
2009-01-19,19.5453
2009-01-20,16.698841
2009-01-21,16.363964
2009-01-22,16.363964
2009-01-23,23.56383
2009-01-24,16.363964
2009-01-25,16.363964
2009-01-26,16.363964
2009-01-27,16.363964
2009-01-28,16.698843
2009-01-29,17.03372
2009-01-30,17.201159
2009-01-31,16.698843
2009-02-01,16.363964
2009-02-02,22.559196
2009-02-03,23.898708
2009-02-04,23.898708
2009-02-05,23.56383
2009-02-06,23.898708
2009-02-07,23.898708
2009-02-08,16.363964
2009-02-09,16.363964
2009-02-10,16.363964
2009-02-11,16.363964
2009-02-12,16.363964
2009-02-13,16.363964
2009-02-14,16.363964
2009-02-15,23.898708
2009-02-16,22.22432
2009-02-17,22.391758
2009-02-18,16.363964
2009-02-19,16.363964
2009-02-20,16.363964
2009-02-21,23.898708
2009-02-22,23.898708
2009-02-23,23.898708
2009-02-24,23.73127
2009-02-25,23.898708
2009-02-26,23.898708
2009-02-27,23.898708
2009-02-28,23.898708
2009-03-01,23.898708
2009-03-02,23.898708
2009-03-03,24.822105
2009-03-04,23.898708
2009-03-05,23.56383
2009-03-06,16.363964
2009-03-07,16.363964
2009-03-08,16.363964
2009-03-09,16.363964
2009-03-10,17.368599
2009-03-11,23.73127
2009-03-12,16.363964
2009-03-13,16.363964
2009-03-14,16.363964
2009-03-15,23.73127
2009-03-16,23.898708
2009-03-17,24.637424
2009-03-18,32.209282
2009-03-19,32.209282
2009-03-20,32.209282
2009-03-21,24.637426
2009-03-22,29.993132
2009-03-23,32.209282
2009-03-24,32.209282
2009-03-25,32.209282
2009-03-26,32.209282
2009-03-27,32.6214
2009-03-28,34.0638
2009-03-29,33.033516
2009-03-30,31.285889
2009-03-31,30.547169
2009-04-01,32.209282
2009-04-02,26.11486
2009-04-03,23.898708
2009-04-04,23.898708
2009-04-05,23.898708
2009-04-06,32.6214
2009-04-07,38.390995
2009-04-08,40.86368
2009-04-09,38.390995
2009-04-10,38.390995
2009-04-11,23.898708
2009-04-12,23.898708
2009-04-13,23.898708
2009-04-14,23.898708
2009-04-15,23.898708
2009-04-16,34.063797
2009-04-17,41.48185
2009-04-18,41.27579
2009-04-19,41.48185
2009-04-20,44.504574
2009-04-21,44.03954
2009-04-22,41.714367
2009-04-23,41.714367
2009-04-24,39.009167
2009-04-25,41.714367
2009-04-26,41.946884
2009-04-27,41.946884
2009-04-28,33.879116
2009-04-29,36.948597
2009-04-30,41.48185
2009-05-01,47.06226
2009-05-02,49.61995
2009-05-03,47.29478
2009-05-04,46.829746
2009-05-05,42.1794
2009-05-06,48.22485
2009-05-07,49.85247
2009-05-08,50.3175
2009-05-09,50.782536
2009-05-10,50.550022
2009-05-11,51.480087
2009-05-12,50.782536
2009-05-13,51.94512
2009-05-14,51.94512
2009-05-15,51.94512
2009-05-16,51.94512
2009-05-17,54.066715
2009-05-18,58.044693
2009-05-19,57.779488
2009-05-20,54.331905
2009-05-21,56.188297
2009-05-22,56.188297
2009-05-23,54.862305
2009-05-24,53.271114
2009-05-25,51.94512
2009-05-26,58.044693
2009-05-27,58.309902
2009-05-28,61.49228
2009-05-29,63.879063
2009-05-30,63.879063
2009-05-31,63.879063
2009-06-01,63.879063
2009-06-02,63.879063
2009-06-03,63.879063
2009-06-04,63.879063
2009-06-05,64.184525
2009-06-06,63.879063
2009-06-07,63.879063
2009-06-08,64.795425
2009-06-09,65.71179
2009-06-10,64.795425
2009-06-11,64.18452
2009-06-12,63.95957
2009-06-13,63.694374
2009-06-14,63.694374
2009-06-15,63.95957
2009-06-16,63.348667
2009-06-17,65.406334
2009-06-18,65.406334
2009-06-19,64.795425
2009-06-20,64.18452
2009-06-21,63.879063
2009-06-22,63.879063
2009-06-23,64.48997
2009-06-24,63.879063
2009-06-25,66.32269
2009-06-26,67.54451
2009-06-27,65.406334
2009-06-28,63.61386
2009-06-29,63.879063
2009-06-30,63.348667
2009-07-01,63.879063
2009-07-02,63.879063
2009-07-03,64.489975
2009-07-04,65.71179
2009-07-05,66.01725
2009-07-06,68.46088
2009-07-07,63.879063
2009-07-08,63.879063
2009-07-09,64.18452
2009-07-10,68.46087
2009-07-11,72.737236
2009-07-12,77.0136
2009-07-13,76.708145
2009-07-14,77.62451
2009-07-15,77.62451
2009-07-16,78.334274
2009-07-17,77.62451
2009-07-18,72.737236
2009-07-19,69.68269
2009-07-20,64.489975
2009-07-21,77.31905
2009-07-22,77.62451
2009-07-23,77.62451
2009-07-24,77.62451
2009-07-25,77.62451
2009-07-26,76.402695
2009-07-27,62.818268
2009-07-28,61.267338
2009-07-29,70.59905
2009-07-30,77.62451
2009-07-31,77.62451
2009-08-01,78.68915
2009-08-02,80.463554
2009-08-03,78.68915
2009-08-04,77.62451
2009-08-05,77.62451
2009-08-06,79.7538
2009-08-07,78.334274
2009-08-08,78.689156
2009-08-09,77.97939
2009-08-10,78.689156
2009-08-11,77.62451
2009-08-12,83.65748
2009-08-13,84.36724
2009-08-14,80.10867
2009-08-15,83.302605
2009-08-16,81.17332
2009-08-17,66.32271
2009-08-18,56.69129
2009-08-19,86.8514
2009-08-20,91.10997
2009-08-21,91.10997
2009-08-22,92.529495
2009-08-23,92.88438
2009-08-24,77.911896
2009-08-25,45.48944
2009-08-26,57.50409
2009-08-27,70.41289
2009-08-28,62.07952
2009-08-29,28.047169
2009-08-30,20.618898
2009-08-31,21.404367
2009-09-01,17.201159
2009-09-02,25.006786
2009-09-03,43.37467
2009-09-04,54.106968
