,INALT,ROMS,ROMSchild
2009-01-01,16.363966,23.26656,23.10112
2009-01-02,16.363966,23.26656,23.10112
2009-01-03,16.363966,23.26656,23.10112
2009-01-04,16.363966,23.26656,23.10112
2009-01-05,16.363966,23.26656,23.10112
2009-01-06,16.363966,23.26656,23.10112
2009-01-07,16.363966,23.26656,23.10112
2009-01-08,16.363966,23.26656,23.10112
2009-01-09,16.363966,23.26656,23.10112
2009-01-10,16.363966,23.26656,23.10112
2009-01-11,16.363966,23.26656,23.10112
2009-01-12,16.363966,23.26656,23.10112
2009-01-13,16.363966,23.26656,23.10112
2009-01-14,16.363966,23.26656,23.10112
2009-01-15,16.363966,23.26656,23.10112
2009-01-16,16.363966,23.26656,23.10112
2009-01-17,16.363966,23.26656,23.10112
2009-01-18,16.363966,23.26656,23.10112
2009-01-19,23.89871,23.26656,23.10112
2009-01-20,16.363966,23.26656,23.10112
2009-01-21,16.363966,23.26656,23.10112
2009-01-22,16.363966,23.26656,23.10112
2009-01-23,23.89871,23.26656,23.10112
2009-01-24,16.363966,23.26656,23.10112
2009-01-25,16.363966,23.26656,23.10112
2009-01-26,16.363966,23.26656,23.10112
2009-01-27,16.363966,23.26656,23.10112
2009-01-28,16.363966,23.26656,23.10112
2009-01-29,16.363966,23.26656,23.10112
2009-01-30,16.363966,23.26656,23.10112
2009-01-31,16.363966,23.26656,23.10112
2009-02-01,16.363966,23.26656,23.10112
2009-02-02,23.89871,23.26656,23.10112
2009-02-03,23.89871,23.26656,23.10112
2009-02-04,23.89871,23.26656,23.10112
2009-02-05,23.89871,23.26656,23.10112
2009-02-06,23.89871,23.26656,23.10112
2009-02-07,23.89871,23.26656,23.10112
2009-02-08,16.363966,23.26656,23.10112
2009-02-09,16.363966,23.26656,23.10112
2009-02-10,16.363966,23.26656,23.10112
2009-02-11,16.363966,23.26656,23.10112
2009-02-12,16.363966,23.26656,23.10112
2009-02-13,16.363966,23.26656,23.10112
2009-02-14,23.89871,23.26656,23.10112
2009-02-15,23.89871,23.26656,23.10112
2009-02-16,23.89871,23.26656,23.10112
2009-02-17,23.89871,23.26656,23.10112
2009-02-18,16.363966,36.27181,36.0146
2009-02-19,16.363966,36.27181,36.0146
2009-02-20,23.89871,36.27181,36.0146
2009-02-21,23.89871,36.27181,23.10112
2009-02-22,32.20929,23.26656,23.10112
2009-02-23,32.20929,23.26656,23.10112
2009-02-24,23.89871,23.26656,36.0146
